Year,Month,Total,,,,
2000,1,0.86,,39.97,,8.043228668
2000,2,3.29,,42.43,,
2000,3,2.43,,43.83,,
2000,4,0.61,,42.75,,
2000,5,4.09,,45.66,,
2000,6,7.3,,48.04,,
2000,7,3.29,,45.92,,
2000,8,10.01,,47.87,,
2000,9,2.41,,40.11,,
2000,10,3.51,,40.4,,
2000,11,1.66,,41.01,,
2000,12,0.51,,41.38,,
2001,1,3.32,,42.04,,
2001,2,4.69,,41.36,,
2001,3,1.35,,37.43,,
2001,4,3.52,,37.55,,
2001,5,6.47,,38.38,,
2001,6,5.18,,41.15,,
2001,7,5.24,,38.77,,
2001,8,2.25,,37.78,,
2001,9,2.7,,42.31,,
2001,10,4.12,,41.87,,
2001,11,2.03,,42.25,,
2001,12,1.17,,40.96,,
2002,1,2.64,,41.02,,
2002,2,0.76,,38.94,,
2002,3,1.47,,39.58,,
2002,4,4.35,,40.7,,
2002,5,9.24,,41.09,,
2002,6,2.8,,36.34,,
2002,7,4.25,,39.55,,
2002,8,6.78,,36.5,,
2002,9,2.26,,32.73,,
2002,10,4.5,,38.22,,
2002,11,0.74,,35.6,,
2002,12,1.23,,36.88,,
2003,1,0.56,,38.86,,
2003,2,1.4,,40.4,,
2003,3,2.59,,39.71,,
2003,4,4.74,,44.82,,
2003,5,4.49,,42.9,,
2003,6,6.01,,44.48,,
2003,7,1.2,,39.95,,
2003,8,3.01,,44.02,,
2003,9,7.75,,46.64,,
2003,10,1.88,,39.79,,
2003,11,2.02,,41.74,,
2003,12,3.21,,44.98,,
2004,1,2.1,,42.87,,
2004,2,0.71,,46.69,,
2004,3,7.7,,48.1,,
2004,4,2.82,,41.27,,
2004,5,6.07,,41.95,,
2004,6,1.48,,38.98,,
2004,7,5.27,,41.62,,
2004,8,5.63,,36.87,,
2004,9,0.9,,40.28,,
2004,10,3.83,,44.3,,
2004,11,5.26,,43.28,,
2004,12,1.1,,39.21,,
2005,1,5.92,,38.88,,
2005,2,2.12,,34.87,,
2005,3,0.87,,32.82,,
2005,4,3.5,,35.68,,
2005,5,3.1,,34.58,,
2005,6,4.12,,33.94,,
2005,7,0.52,,33.93,,
2005,8,9.04,,35.77,,
2005,9,4.92,,31.42,,
2005,10,2.81,,26.93,,
2005,11,1.19,,27.64,,
2005,12,0.77,,28.17,,
2006,1,1.91,,29,,
2006,2,0.07,,29.01,,
2006,3,3.73,,30.94,,
2006,4,2.4,,30.25,,
2006,5,2.46,,31.77,,
2006,6,4.11,,33.07,,
2006,7,2.36,,32.88,,
2006,8,4.69,,32.49,,
2006,9,0.43,,28.76,,
2006,10,3.52,,29.82,,
2006,11,1.72,,29.02,,
2006,12,1.6,,29.16,,
2007,1,1.92,,30.93,,
2007,2,2,,31.44,,
2007,3,3.04,,32.73,,
2007,4,3.92,,35.03,,
2007,5,3.76,,35.2,,
2007,6,3.92,,38.7,,
2007,7,1.97,,39.93,,
2007,8,0.96,,47.68,,
2007,9,1.49,,49.63,,
2007,10,2.72,,59.77,,
2007,11,1.86,,58.65,,
2007,12,3.37,,58,,
2008,1,2.43,,57.19,,
2008,2,3.29,,54.85,,
2008,3,5.34,,54.77,,
2008,4,4.09,,53.57,,
2008,5,7.26,,57.64,,
2008,6,5.15,,55.34,,
2008,7,9.72,,56.44,,
2008,8,2.91,,51.98,,
2008,9,11.63,,54.11,,
2008,10,1.6,,45.54,,
2008,11,1.21,,54.35,,
2008,12,2.56,,54.82,,
2009,1,0.09,,54.99,,
2009,2,3.21,,56.86,,
2009,3,4.14,,56.13,,
2009,4,8.16,,55.1,,
